Transaction_ID,Amount,Time_Since_Last_Transaction,Location_Match,Device_Match,Transaction_Channel,Merchant_Category,User_Age,Account_Tenure,Fraud_Label
TXN006252,338.1395686672589,3.057399295288973,1,1,Mobile,Grocery,29,3.500780235505736,0
TXN004684,775.7297914222804,46.730939302493,1,1,Web,Retail,38,0.4194791180945435,0
TXN001731,624.2719404553468,7.0275387007844605,0,0,Web,Dining,62,9.560139919460326,0
TXN004742,36.55464057566991,49.18232647736028,1,1,Mobile,Retail,25,1.6676272761523911,0
TXN004521,577.5399653055185,85.3731337937525,1,1,Mobile,Electronics,32,4.282418907377764,0
TXN006340,248.2155182519132,0.0428023681550465,0,0,POS,Electronics,49,3.48403055651821,0
TXN000576,147.9264074481089,112.50066596009373,1,1,Web,Dining,53,3.4123758740992365,0
TXN005202,643.1346360664479,17.078885459036044,0,1,Mobile,Grocery,47,5.717538580117147,0
TXN006363,470.33451712723286,14.083461896282676,0,0,POS,Grocery,40,5.252890057139005,0
TXN000439,82.26743186125786,12.667416374772888,0,1,POS,Dining,36,7.742659546924815,1
TXN002750,388.77754042086855,0.8607796078894258,0,1,POS,Clothing,46,3.290432038089831,0
TXN007487,961.4561602687268,22.405475502896696,1,0,POS,Clothing,43,5.321637882995097,0
TXN005272,298.56153899182107,13.48950677341387,1,1,Web,Electronics,43,8.432331294521433,0
TXN005653,353.1285658964078,8.234621939548969,0,1,Mobile,Retail,66,3.298165758615043,0
TXN003999,162.20599102999475,41.635538425604246,0,1,Web,Dining,25,5.312801184995566,0
TXN006033,234.45675837653823,16.22920649968193,0,0,POS,Clothing,23,9.676820017542417,0
TXN000582,493.1254758988768,19.17573798952754,0,1,Web,Clothing,36,1.7520588831207533,0
TXN009930,823.4031328872529,9.406560614703375,0,1,Web,Retail,30,4.828021798003944,0
TXN007051,527.7278948007264,2.873120838805981,1,1,Mobile,Dining,64,3.8906394553870105,0
TXN008158,402.8923833982424,11.384509310200936,1,0,POS,Grocery,42,6.90172277110148,0
TXN009896,718.0427842714146,9.46331029697384,1,0,Mobile,Grocery,47,9.319337158613298,0
TXN002249,115.81806406250726,105.27345383746449,1,0,Mobile,Electronics,29,2.77167080441769,0
TXN004640,945.8039525237042,22.793667608667025,0,1,Mobile,Electronics,61,2.9837937969923907,0
TXN009485,624.1296309848635,9.837252555947607,0,1,Mobile,Dining,34,4.400149479591591,0
TXN004947,741.885660164437,17.455881749940755,0,1,Web,Grocery,26,4.271168126608356,0
TXN009920,278.5550666650896,12.4187196263278,0,0,Mobile,Retail,21,9.679057908135874,0
TXN001963,384.449118981111,6.552728058899355,0,1,Web,Dining,63,0.4077235569652446,0
TXN008243,412.3359199226529,3.05793988389528,0,0,Mobile,Dining,62,9.567908672849107,0
TXN006590,454.50487421481193,14.33669748419214,0,1,POS,Grocery,43,5.2335319780838745,0
TXN008847,657.5404639784222,29.835178580836224,1,0,Mobile,Dining,33,7.620746742460105,0
TXN000321,714.8813267773622,8.76055837152822,1,0,Web,Electronics,40,1.1236272842819532,1
TXN002678,112.40070010895512,41.04974806476552,0,0,Mobile,Grocery,19,6.604283320040899,0
TXN004625,682.85793828839,21.77783432330983,0,1,Mobile,Dining,42,4.726661588027999,0
